,SCR,FCR,Total
Aquiscoes,20.1,48.8,68.9
Alienacoes,9.2,42.8,52
Investimento Liquido,10.9,6,16.9
Valor das Transaccoes,29.3,91.6,120.9
Rotacao das Carteiras,3.9,5.7,5.1
