Tipo de Vinculacao,N.. de operacoes SCR,Valorizacao em Carteira SCR,N.. de operacoes FCR,Valorizacao em Carteira FCR,N.. de operacoes Total,Valorizacao em Carteira Total
Opcao europeia (exercicio na maturidade),6,150,81,19836.2,87,19986.2
Opcao america (exercicio a qualquer momento),11,355,127,1212.8,138,1567.8
Outras opcoes,3,-14.6,55,77632.1,58,77617.5
Obrigacao (futuro/foward),23,708.6,104,7569.8,127,8278.4
Total,43,1199,367,106250.9,410,107449.9
